=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-25_0-7-18
====================================================================================
1:4:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.811035, 11.369877, 428.133240>)
1:4:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.926270, 11.512680, 428.311676>)
1:4:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6986.998535, 12.518776, 428.455994>)
1:4:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.078125, 13.398640, 428.786377>)
1:4:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.144531, 13.971110, 429.114075>)
1:4:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.252441, 14.130852, 429.480194>)
1:4:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.364746, 13.850249, 429.804443>)
1:4:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.433594, 13.269920, 430.177826>)
1:4:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.496582, 12.341912, 430.564667>)
1:4:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6987.623535, 11.277645, 430.707428>)
1:4:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6984.531738, 11.419044, 434.729858>)
1:4:46 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6981.314453, 12.524126, 438.937653>)
1:4:47 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<6968.013184, 5.858611, 461.990143>)
1:5:13 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7055.689941, 4.389564, 440.076874>)
1:5:45 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7330.736816, 18.939375, 1099.401123>)
1:5:47 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7312.314453, 0.733299, 1080.891235>)
1:5:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7284.359863, 13.237898, 1137.767212>)
1:5:48 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7288.254395, 14.829206, 1143.436768>)
1:5:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7285.931641, 14.895844, 1146.713379>)
1:5:50 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7222.049805, 1098.585083, 1328.619019>)
1:5:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7328.962402, 19.747032, 1112.066406>)
1:6:24 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7542.516602, 21.412838, 1020.469360>)
1:6:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7526.799316, 21.831976, 1001.451538>)
1:6:38 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7522.247559, 22.237310, 991.938477>)
1:6:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7517.430664, 22.477491, 981.868530>)
1:6:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7514.794922, 23.437666, 976.417664>)
1:6:39 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7511.572266, 24.228598, 969.721985>)
1:6:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7510.042969, 24.802284, 962.433411>)
1:6:40 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7495.836914, 19.688896, 928.370728>)
1:6:41 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7502.882324, 19.345432, 928.076843>)
1:6:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7545.880859, 34.675930, 910.980042>)
1:6:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7549.237793, 37.464596, 909.709900>)
1:6:43 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7552.522461, 40.099804, 909.007874>)
1:6:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7555.273926, 42.290817, 910.071960>)
1:6:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7558.720703, 44.773746, 911.173767>)
1:6:44 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7561.959961, 46.968296, 912.145203>)
1:6:52 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7564.628906, 48.363449, 913.781067>)
1:6:52 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7567.127441, 49.581085, 915.294495>)
1:6:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7571.796875, 50.245068, 918.070068>)
1:6:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7577.988281, 51.198406, 921.754395>)
1:6:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7579.985840, 52.732697, 922.965942>)
1:6:53 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7582.165527, 54.150814, 924.269043>)
1:6:54 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7586.276367, 54.842297, 926.668396>)
1:6:54 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7589.925781, 55.601158, 928.766357>)
1:6:55 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7603.694824, 53.736317, 936.664001>)
1:6:55 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7617.923340, 51.952927, 943.335815>)
1:6:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7637.568848, 49.070656, 952.335938>)
1:6:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7641.977539, 49.761997, 954.393127>)
1:6:56 | "Skullcruncher32" (steamid=76561198378002588) teleported to crosshair (pos=<7645.309570, 50.686573, 955.910339>)
